20181022_13-08-19,20.062
20181022_13-09-50,18.75
20181022_13-11-21,19.187
20181022_13-12-52,19.687
20181022_13-14-23,20.062
20181022_13-15-54,18.75
20181022_13-17-25,19.187
20181022_13-18-56,19.687
20181022_13-20-27,20.062
20181022_13-21-58,18.75
20181022_13-23-29,19.187
20181022_13-24-59,19.625
20181022_13-26-30,20.062
20181022_13-28-01,18.75
20181022_13-29-32,19.187
20181022_13-31-03,19.687
20181022_13-32-34,20.062
20181022_13-34-05,18.75
20181022_13-35-36,19.187
20181022_13-37-07,19.687
20181022_13-38-38,20.125
20181022_13-40-09,18.75
20181022_13-41-40,19.187
20181022_13-43-11,19.687
20181022_13-44-42,20.125
20181022_13-46-13,18.812
20181022_13-47-44,19.187
20181022_13-49-15,19.75
20181022_13-50-46,20.187
20181022_13-52-17,18.812
20181022_13-53-48,19.25
20181022_13-55-19,19.75
20181022_13-56-50,20.187
20181022_13-58-21,18.875
20181022_13-59-52,19.312
20181022_14-01-23,19.812
20181022_14-02-53,20.25
20181022_14-04-24,18.937
20181022_14-05-55,19.312
20181022_14-07-26,19.875
20181022_14-08-57,20.312
20181022_14-10-28,18.937
20181022_14-11-59,19.375
20181022_14-13-30,19.937
20181022_14-15-01,20.375
20181022_14-16-32,19.0
20181022_14-18-03,19.437
20181022_14-19-34,20.0
20181022_14-21-05,20.437
20181022_14-22-36,19.062
20181022_14-24-07,19.5
20181022_14-25-38,20.062
20181022_14-27-09,19.0
20181022_14-28-40,19.437
20181022_14-30-11,20.0
20181022_14-31-42,20.437
20181022_14-33-13,19.125
20181022_14-34-44,19.562
20181022_14-36-15,20.125
20181022_14-37-46,19.0
20181022_14-39-17,19.5
20181022_14-40-48,20.062
20181022_14-42-19,19.062
20181022_14-43-49,19.5
20181022_14-45-20,20.062
20181022_14-46-51,19.062
20181022_14-48-22,19.5
20181022_14-49-53,20.062
20181022_14-51-24,19.062
20181022_14-52-55,19.5
20181022_14-54-26,20.062
20181022_14-55-57,19.062
20181022_14-57-28,19.5
20181022_14-58-59,20.062
20181022_15-00-30,19.125
20181022_15-02-01,19.562
20181022_15-03-32,20.062
20181022_15-05-03,19.125
20181022_15-06-34,19.562
20181022_15-08-05,20.062
20181022_15-09-36,19.125
20181022_15-11-07,19.562
20181022_15-12-38,20.062
20181022_15-14-09,19.125
20181022_15-15-40,19.562
20181022_15-17-11,20.062
20181022_15-18-42,19.125
20181022_15-20-13,19.562
20181022_15-21-43,20.062
20181022_15-23-14,19.125
20181022_15-24-45,19.562
20181022_15-26-16,20.125
20181022_15-27-47,19.187
20181022_15-29-18,19.625
20181022_15-30-49,20.125
20181022_15-32-20,19.187
20181022_15-33-51,19.625
20181022_15-35-22,20.125
20181022_15-36-53,19.187
20181022_15-38-24,19.625
20181022_15-39-55,20.125
20181022_15-41-26,19.187
20181022_15-42-57,19.625
20181022_15-44-28,20.125
20181022_15-45-59,19.187
